# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2427
#@/user_id	MBP-C1-2017
huang 	黃	c=1 d=1 t=1636
huang gang 	黃岡	c=1 d=1 t=845
huang yan ling 	慌燕玲	c=1 d=1 t=1635
hui 	回	c=4 d=1.77905 t=2271
hui 	會	c=5 d=1.14078 t=2427
hui bu hui 	會不會	c=1 d=1 t=1075
hui dao 	回到	c=1 d=1 t=799
hui dao 	會到	c=1 d=0.204948 t=2427
hui fu 	回覆	c=2 d=0.726149 t=2427
hui you 	會有	c=1 d=1 t=1093
hun 	混	c=1 d=1 t=2387
huo guo 	火鍋	c=1 d=0.0611149 t=2427
huo zhe 	或者	c=1 d=1 t=1523
huo zhe 	活着	c=1 d=1 t=1522
ibooks author 	iBooks Author	c=0 d=0.00617291 t=2427
ibooks author mei 	iBooks Author沒	c=1 d=0.0620385 t=2427
ji 	機	c=0 d=0.1 t=1226
ji ben 	基本	c=1 d=1 t=1939
ji ci 	幾次	c=1 d=1 t=2003
ji dao 	寄到	c=1 d=1 t=1138
ji de 	記得	c=1 d=0.147342 t=2427
ji ge 	幾個	c=3 d=0.942075 t=2427
ji huo 	激活	c=1 d=0.241789 t=2427
ji lu 	記錄	c=1 d=0.843665 t=2427
ji sheng chong 	寄生蟲	c=1 d=1 t=1695
ji shu 	基數	c=1 d=1 t=1395
ji xing 	機型	c=1 d=1 t=1208
ji zhu 	記住	c=1 d=1 t=1944
jia 	加	c=1 d=0.484349 t=2427
jia 	家	c=0 d=0.1 t=1575
jia dao 	加到	c=2 d=1.00176 t=2117
jia ge 	價格	c=1 d=0.111359 t=2427
jia li 	家裏	c=2 d=0.063609 t=2427
jia na da 	加拿大	c=1 d=1 t=1982
jia shui 	加稅	c=1 d=1 t=2359
jia zi 	架子	c=0 d=0.0324652 t=2427
jian ce 	檢測	c=1 d=1 t=1896
jian dan 	簡單	c=2 d=1.12063 t=1529
jian pan 	鍵盤	c=2 d=0.985112 t=2427
jian pin 	簡拼	c=6 d=2.57958 t=2427
jian ti 	簡體	c=4 d=2.90659 t=2427
jian xia chui 	睑下垂	c=0 d=0.0332871 t=2427
jiang jin 	獎金	c=1 d=1 t=1443
jie 	姐	c=0 d=0.1 t=990
jie 	接	c=1 d=1 t=1473
jie duan 	階段	c=1 d=1 t=1588
jie ju 	結局	c=0 d=0.0995012 t=2427
jie ju jia 	結局加	c=1 d=1 t=2427
jie shi 	解釋	c=0 d=0.1 t=2183
jie shi le 	解釋了	c=1 d=1 t=2184
jie shu 	結束	c=1 d=1 t=1752
jie zou 	節奏	c=1 d=1 t=1379
jin 	進	c=1 d=1 t=1041
jin bu 	進步	c=1 d=1 t=1252
jin chi 	( ͡° ͜ʖ ͡°)	c=1 d=1 t=2427
jin ci 	僅此	c=0 d=0.0852144 t=2427
jin ci yi jian 	僅此一件	c=1 d=0.856415 t=2427
jin du 	進度	c=0 d=0.1 t=1923
jin du man 	進度慢	c=1 d=1 t=1924
jin nian 	今年	c=3 d=0.0403566 t=2427
