# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4960
#@/user_id	MBP-2019
a 	啊	c=67 d=7.11815 t=4960
fan zheng 	反正	c=6 d=1.28088 t=4960
fang 	放	c=7 d=0.19125 t=4335
fang cheng 	方程	c=3 d=2.26256 t=4549
fang fa 	方法	c=1 d=1 t=2741
fang fa 	訪法	c=1 d=1 t=2740
fang jian 	房間	c=1 d=1 t=3554
fang qi 	放棄	c=1 d=0.154124 t=4960
fang zai 	放在	c=3 d=1.01171 t=4175
fei 	非	c=1 d=0.995012 t=4960
fei chang 	非常	c=1 d=1 t=2606
fei dian 	非典	c=1 d=0.00293808 t=4960
fei ji 	飛機	c=0 d=0.1 t=3326
fei yan 	肺炎	c=1 d=0.0255088 t=4960
fen 	粉	c=0 d=0.000240549 t=4960
fen bian lv 	分辨率	c=1 d=1 t=3203
fen kai 	分開	c=2 d=1.00878 t=3785
fen pei 	分配	c=1 d=0.00548905 t=4960
fen xiang 	分享	c=1 d=0.0941765 t=4960
fen zhi 	分治	c=1 d=0.0916297 t=4960
feng 	風	c=1 d=1 t=2574
feng kuang 	瘋狂	c=1 d=0.00162187 t=4960
feng le 	封了	c=1 d=0.394554 t=4960
feng le 	瘋了	c=0 d=0.000150344 t=4960
feng wang 	封網	c=1 d=0.00069264 t=4960
feng xian 	奉獻	c=1 d=1 t=3743
fu 	府	c=0 d=0.1 t=3483
fu dan 	復旦	c=1 d=0.99005 t=4960
fu gong 	復工	c=1 d=0.0176857 t=4960
fu hao 	符號	c=1 d=0.99005 t=4960
fu huo 	福禍	c=1 d=0.0156858 t=4960
fu jin 	附近	c=2 d=0.145148 t=4960
fu qi 	夫妻	c=2 d=1.09117 t=4262
fu wu qi 	服務器	c=2 d=1.8311 t=4891
fu xi 	複習	c=1 d=1 t=4518
fu za 	複雜	c=0 d=0.1 t=4147
gai 	改	c=1 d=1 t=4417
gai 	該	c=3 d=0.501576 t=4960
gai le 	改了	c=4 d=0.171098 t=4960
gai ri 	該日	c=0 d=0.1 t=3849
gai ri zai zhan 	該日再戰	c=1 d=1 t=3850
gai tian 	改天	c=0 d=0.1 t=4295
gai tian zai zhan 	改天再戰	c=1 d=1 t=4296
gai zheng 	改正	c=0 d=0.1 t=2797
gan 	幹	c=3 d=0.245403 t=4960
gan ga 	尷尬	c=2 d=1.18862 t=4960
gan guo lai 	趕過來	c=1 d=1 t=2661
gan jin 	趕緊	c=4 d=2.25533 t=4960
gan jue 	感覺	c=14 d=1.11542 t=4960
gan mao le 	感冒了	c=1 d=0.0359725 t=4960
gan ran 	感染	c=1 d=0.0253494 t=4960
gan ren 	趕人	c=1 d=0.00524752 t=4960
gang 	剛	c=1 d=0.637628 t=4960
gang gang 	剛剛	c=20 d=1.2417 t=4960
gang qin 	鋼琴	c=1 d=0.0605068 t=4960
gang qin qu 	鋼琴曲	c=1 d=1 t=2772
gao 	搞	c=1 d=0.0239189 t=4960
gao 	高	c=1 d=1 t=4461
gao ding 	搞定	c=0 d=0.00319048 t=4960
gao ding la 	搞定啦	c=1 d=0.0320647 t=4960
gao su 	告訴	c=1 d=1 t=3836
gao yi ge 	搞一個	c=1 d=0.163654 t=4960
ge 	個	c=12 d=1.23325 t=4960
